samplingTime,Drv_DeltaSteer,Veh_Vx
0,0,30
0.005,0,29.99966417
0.01,0,29.99881271
0.015,0,29.99759575
0.02,0,29.99612123
0.025,0,29.99447177
0.03,0,29.99270624
0.035,0,29.99086302
0.04,0,29.98896577
0.045,0,29.98702936
0.05,0,29.9850643
0.055,0,29.98307915
0.06,0,29.98108143
0.065,0,29.97907754
0.07,0,29.97707242
0.075,0,29.97506945
0.08,0,29.97307045
0.085,0,29.97107601
0.09,0,29.96908588
0.095,0,29.9670993
0.1,0,29.96511538
0.105,0,29.96313321
0.11,0,29.96115202
0.115,0,29.95917119
0.12,0,29.95719028
0.125,0,29.95520898
0.13,0,29.9532271
0.135,0,29.95124456
0.14,0,29.94926132
0.145,0,29.94727744
0.15,0,29.94529297
0.155,0,29.943308
0.16,0,29.94132263
0.165,0,29.93933696
0.17,0,29.93735106
0.175,0,29.935365
0.18,0,29.93337884
0.185,0,29.93139263
0.19,0,29.92940638
0.195,0,29.92742013
0.2,0,29.92543387
0.205,0,29.92344763
0.21,0,29.9214614
0.215,0,29.91947518
0.22,0,29.91748899
0.225,0,29.91550282
0.23,0,29.91351669
0.235,0,29.91153059
0.24,0,29.90954455
0.245,0,29.90755856
0.25,0,29.90557264
0.255,0,29.90358681
0.26,0,29.90160107
0.265,0,29.89961544
0.27,0,29.89762992
0.275,0,29.89564454
0.28,0,29.8936593
0.285,0,29.89167421
0.29,0,29.88968929
0.295,0,29.88770454
0.3,0,29.88571997
0.305,0,29.88373559
0.31,0,29.88175142
0.315,0,29.87976745
0.32,0,29.8777837
0.325,0,29.87580017
0.33,0,29.87381687
0.335,0,29.8718338
0.34,0,29.86985098
0.345,0,29.86786841
0.35,0,29.8658861
0.355,0,29.86390404
0.36,0,29.86192225
0.365,0,29.85994073
0.37,0,29.85795951
0.375,0,29.85597862
0.38,0,29.8539981
0.385,0,29.85201795
0.39,0,29.85003816
0.395,0,29.84805873
0.4,0,29.84607964
0.405,0,29.84410088
0.41,0,29.84212245
0.415,0,29.84014432
0.42,0,29.8381665
0.425,0,29.83618894
0.43,0,29.83421163
0.435,0,29.83223456
0.44,0,29.83025774
0.445,0,29.82828118
0.45,0,29.82630487
0.455,0,29.82432883
0.46,0,29.82235306
0.465,0,29.82037757
0.47,0,29.81840236
0.475,0,29.81642744
0.48,0,29.8144528
0.485,0,29.81247844
0.49,0,29.81050436
0.495,0,29.80853057
0.5,0,29.80655705
0.505,0,29.8045838
0.51,0,29.80261083
0.515,0,29.80063812
0.52,0,29.79866568
0.525,0,29.7966935
0.53,0,29.79472157
0.535,0,29.7927499
0.54,0,29.79077849
0.545,0,29.78880732
0.55,0,29.78683639
0.555,0,29.78486571
0.56,0,29.78289527
0.565,0,29.78092506
0.57,0,29.77895508
0.575,0,29.77698534
0.58,0,29.77501582
0.585,0,29.77304653
0.59,0,29.77107745
0.595,0,29.76910859
0.6,0,29.76713995
0.605,0,29.76517152
0.61,0,29.7632033
0.615,0,29.76123528
0.62,0,29.75926746
0.625,0,29.75729985
0.63,0,29.75533243
0.635,0,29.7533652
0.64,0,29.75139817
0.645,0,29.74943132
0.65,0,29.74746466
0.655,0,29.74549819
0.66,0,29.74353189
0.665,0,29.74156578
0.67,0,29.73959984
0.675,0,29.73763407
0.68,0,29.73566847
0.685,0,29.73370305
0.69,0,29.73173779
0.695,0,29.7297727
0.7,0,29.72780777
0.705,0,29.725843
0.71,0,29.72387839
0.715,0,29.72191394
0.72,0,29.71994965
0.725,0,29.71798551
0.73,0,29.71602153
0.735,0,29.7140577
0.74,0,29.71209402
0.745,0,29.71013048
0.75,0,29.7081671
0.755,0,29.70620387
0.76,0,29.70424078
0.765,0,29.70227783
0.77,0,29.70031504
0.775,0,29.69835238
0.78,0,29.69638986
0.785,0,29.69442747
0.79,0,29.69246519
0.795,0,29.69050304
0.8,0,29.68854101
0.805,0,29.68657911
0.81,0,29.68461734
0.815,0,29.68265571
0.82,0,29.68069422
0.825,0,29.67873288
0.83,0,29.67677169
0.835,0,29.67481065
0.84,0,29.67284976
0.845,0,29.67088903
0.85,0,29.66892845
0.855,0,29.66696802
0.86,0,29.66500774
0.865,0,29.6630476
0.87,0,29.66108762
0.875,0,29.65912779
0.88,0,29.65716811
0.885,0,29.65520857
0.89,0,29.65324918
0.895,0,29.65128995
0.9,0,29.64933086
0.905,0,29.64737192
0.91,0,29.64541313
0.915,0,29.6434545
0.92,0,29.64149601
0.925,0,29.63953767
0.93,0,29.63757949
0.935,0,29.63562146
0.94,0,29.63366358
0.945,0,29.63170585
0.95,0,29.62974828
0.955,0,29.62779087
0.96,0,29.6258336
0.965,0,29.62387649
0.97,0,29.62191954
0.975,0,29.61996274
0.98,0,29.6180061
0.985,0,29.61604962
0.99,0,29.61409329
0.995,0,29.61213712
1,0,29.6101811
1.005,0,29.60822525
1.01,0,29.60626955
1.015,0,29.60431402
1.02,0,29.60235864
1.025,0,29.60040343
1.03,0,29.59844837
1.035,0,29.59649347
1.04,0,29.59453874
1.045,0,29.59258417
1.05,0,29.59062976
1.055,0,29.58867551
1.06,0,29.58672143
1.065,0,29.58476751
1.07,0,29.58281375
1.075,0,29.58086016
1.08,0,29.57890674
1.085,0,29.57695347
1.09,0,29.57500038
1.095,0,29.57304745
1.1,0,29.57109468
1.105,0,29.56914208
1.11,0,29.56718965
1.115,0,29.56523739
1.12,0,29.56328529
1.125,0,29.56133336
1.13,0,29.5593816
1.135,0,29.55743
1.14,0,29.55547858
1.145,0,29.55352732
1.15,0,29.55157624
1.155,0,29.54962532
1.16,0,29.54767457
1.165,0,29.54572399
1.17,0,29.54377358
1.175,0,29.54182334
1.18,0,29.53987327
1.185,0,29.53792337
1.19,0,29.53597365
1.195,0,29.53402409
1.2,0,29.5320747
1.205,0,29.53012549
1.21,0,29.52817646
1.215,0,29.52622759
1.22,0,29.5242789
1.225,0,29.52233039
1.23,0,29.52038205
1.235,0,29.51843388
1.24,0,29.51648588
1.245,0,29.51453806
1.25,0,29.5125904
1.255,0,29.51064291
1.26,0,29.5086956
1.265,0,29.50674845
1.27,0,29.50480147
1.275,0,29.50285466
1.28,0,29.50090803
1.285,0,29.49896156
1.29,0,29.49701527
1.295,0,29.49506914
1.3,0,29.49312318
1.305,0,29.4911774
1.31,0,29.48923178
1.315,0,29.48728634
1.32,0,29.48534106
1.325,0,29.48339596
1.33,0,29.48145102
1.335,0,29.47950625
1.34,0,29.47756165
1.345,0,29.47561722
1.35,0,29.47367296
1.355,0,29.47172887
1.36,0,29.46978495
1.365,0,29.46784119
1.37,0,29.46589761
1.375,0,29.46395419
1.38,0,29.46201094
1.385,0,29.46006786
1.39,0,29.45812494
1.395,0,29.45618219
1.4,0,29.45423961
1.405,0,29.4522972
1.41,0,29.45035495
1.415,0,29.44841287
1.42,0,29.44647096
1.425,0,29.44452921
1.43,0,29.44258763
1.435,0,29.44064622
1.44,0,29.43870497
1.445,0,29.43676389
1.45,0,29.43482298
1.455,0,29.43288223
1.46,0,29.43094164
1.465,0,29.42900123
1.47,0,29.42706097
1.475,0,29.42512089
1.48,0,29.42318096
1.485,0,29.42124121
1.49,0,29.41930161
1.495,0,29.41736219
1.5,0,29.41542292
1.505,0,29.41348382
1.51,0,29.41154489
1.515,0,29.40960612
1.52,0,29.40766752
1.525,0,29.40572908
1.53,0,29.4037908
1.535,0,29.40185269
1.54,0,29.39991474
1.545,0,29.39797696
1.55,0,29.39603934
1.555,0,29.39410188
1.56,0,29.39216459
1.565,0,29.39022746
1.57,0,29.38829049
1.575,0,29.38635369
1.58,0,29.38441705
1.585,0,29.38248057
1.59,0,29.38054426
1.595,0,29.3786081
1.6,0,29.37667212
1.605,0,29.37473629
1.61,0,29.37280063
1.615,0,29.37086513
1.62,0,29.36892979
1.625,0,29.36699462
1.63,0,29.36505962
1.635,0,29.36312477
1.64,0,29.36119009
1.645,0,29.35925557
1.65,0,29.35732122
1.655,0,29.35538703
1.66,0,29.353453
1.665,0,29.35151914
1.67,0,29.34958544
1.675,0,29.3476519
1.68,0,29.34571852
1.685,0,29.34378531
1.69,0,29.34185226
1.695,0,29.33991937
1.7,0,29.33798665
1.705,0,29.33605409
1.71,0,29.33412169
1.715,0,29.33218946
1.72,0,29.33025739
1.725,0,29.32832548
1.73,0,29.32639373
1.735,0,29.32446215
1.74,0,29.32253073
1.745,0,29.32059947
1.75,0,29.31866838
1.755,0,29.31673744
1.76,0,29.31480667
1.765,0,29.31287607
1.77,0,29.31094563
1.775,0,29.30901534
1.78,0,29.30708523
1.785,0,29.30515527
1.79,0,29.30322548
1.795,0,29.30129585
1.8,0,29.29936638
1.805,0,29.29743708
1.81,0,29.29550794
1.815,0,29.29357896
1.82,0,29.29165015
1.825,0,29.28972149
1.83,0,29.287793
1.835,0,29.28586468
1.84,0,29.28393651
1.845,0,29.28200851
1.85,0,29.28008067
1.855,0,29.278153
1.86,0,29.27622548
1.865,0,29.27429813
1.87,0,29.27237095
1.875,0,29.27044392
1.88,0,29.26851706
1.885,0,29.26659036
1.89,0,29.26466382
1.895,0,29.26273745
1.9,0,29.26081124
1.905,0,29.25888519
1.91,0,29.2569593
1.915,0,29.25503358
1.92,0,29.25310802
1.925,0,29.25118262
1.93,0,29.24925739
1.935,0,29.24733232
1.94,0,29.24540741
1.945,0,29.24348266
1.95,0,29.24155808
1.955,0,29.23963365
1.96,0,29.23770939
1.965,0,29.2357853
1.97,0,29.23386136
1.975,0,29.23193759
1.98,0,29.23001399
1.985,0,29.22809054
1.99,0,29.22616726
1.995,0,29.22424413
2,0,29.22232118
2.005,0,29.22039838
2.01,0,29.21847575
2.015,0,29.21655328
2.02,0,29.21463097
2.025,0,29.21270882
2.03,0,29.21078684
2.035,0,29.20886502
2.04,0,29.20694336
2.045,0,29.20502186
2.05,0,29.20310053
2.055,0,29.20117936
2.06,0,29.19925835
2.065,0,29.1973375
2.07,0,29.19541681
2.075,0,29.19349629
2.08,0,29.19157593
2.085,0,29.18965573
2.09,0,29.1877357
2.095,0,29.18581583
2.1,0,29.18389611
2.105,0,29.18197656
2.11,0,29.18005718
2.115,0,29.17813795
2.12,0,29.17621889
2.125,0,29.17429998
2.13,0,29.17238124
2.135,0,29.17046267
2.14,0,29.16854425
2.145,0,29.16662599
2.15,0,29.1647079
2.155,0,29.16278997
2.16,0,29.1608722
2.165,0,29.15895459
2.17,0,29.15703715
2.175,0,29.15511986
2.18,0,29.15320274
2.185,0,29.15128578
2.19,0,29.14936898
2.195,0,29.14745234
2.2,0,29.14553586
2.205,0,29.14361954
2.21,0,29.14170339
2.215,0,29.1397874
2.22,0,29.13787156
2.225,0,29.13595589
2.23,0,29.13404038
2.235,0,29.13212504
2.24,0,29.13020985
2.245,0,29.12829482
2.25,0,29.12637996
2.255,0,29.12446526
2.26,0,29.12255072
2.265,0,29.12063633
2.27,0,29.11872211
2.275,0,29.11680806
2.28,0,29.11489416
2.285,0,29.11298042
2.29,0,29.11106684
2.295,0,29.10915343
2.3,0,29.10724018
2.305,0,29.10532708
2.31,0,29.10341415
2.315,0,29.10150138
2.32,0,29.09958877
2.325,0,29.09767632
2.33,0,29.09576403
2.335,0,29.0938519
2.34,0,29.09193993
2.345,0,29.09002812
2.35,0,29.08811647
2.355,0,29.08620499
2.36,0,29.08429366
2.365,0,29.0823825
2.37,0,29.08047149
2.375,0,29.07856065
2.38,0,29.07664996
2.385,0,29.07473944
2.39,0,29.07282907
2.395,0,29.07091887
2.4,0,29.06900883
2.405,0,29.06709894
2.41,0,29.06518922
2.415,0,29.06327966
2.42,0,29.06137026
2.425,0,29.05946102
2.43,0,29.05755193
2.435,0,29.05564301
2.44,0,29.05373425
2.445,0,29.05182565
2.45,0,29.04991721
2.455,0,29.04800893
2.46,0,29.04610081
2.465,0,29.04419285
2.47,0,29.04228504
2.475,0,29.0403774
2.48,0,29.03846992
2.485,0,29.0365626
2.49,0,29.03465544
2.495,0,29.03274844
2.5,2.5E-14,29.03084159
2.505,1.25,29.02893491
2.51,1.5,29.02702839
2.515,1.75,29.02512203
2.52,3,29.02321583
2.525,3.25,29.02130978
2.53,3.5,29.0194039
2.535,3.75,29.01749818
2.54,4,29.01559261
2.545,4.25,29.01368721
2.55,4.5,29.01178196
2.555,4.75,29.00987688
2.56,5,29.00797195
2.565,5.25,29.00606719
2.57,5.5,29.00416258
2.575,5.75,29.00225813
2.58,6,29.00035384
2.585,6.25,28.99844972
2.59,6.5,28.99654575
2.595,6.75,28.99464194
2.6,7,28.99273829
2.605,7.25,28.9908348
2.61,7.5,28.98893147
2.615,7.75,28.9870283
2.62,8,28.98512528
2.625,8.25,28.98322243
2.63,8.5,28.98131974
2.635,8.75,28.9794172
2.64,9,28.97751483
2.645,9.25,28.97561261
2.65,9.5,28.97371055
2.655,9.75,28.97180866
2.66,10,28.96990692
2.665,10.25,28.96800534
2.67,10.5,28.96610392
2.675,10.75,28.96420266
2.68,11,28.96230155
2.685,11.25,28.96040061
2.69,11.5,28.95849983
2.695,11.75,28.9565992
2.7,12,28.95469873
2.705,12.25,28.95279843
2.71,12.5,28.95089828
2.715,12.75,28.94899829
2.72,13,28.94709846
2.725,13.25,28.94519879
2.73,13.5,28.94329927
2.735,13.75,28.94139992
2.74,14,28.93950072
2.745,14.25,28.93760169
2.75,14.5,28.93570281
2.755,14.75,28.93380409
2.76,15,28.93190553
2.765,15.25,28.93000713
2.77,15.5,28.92810889
2.775,15.75,28.9262108
2.78,16,28.92431287
2.785,16.25,28.92241511
2.79,16.5,28.9205175
2.795,16.75,28.91862005
2.8,17,28.91672276
2.805,17.25,28.91482562
2.81,17.5,28.91292865
2.815,17.75,28.91103183
2.82,18,28.90913517
2.825,18.25,28.90723867
2.83,18.5,28.90534233
2.835,18.75,28.90344615
2.84,19,28.90155013
2.845,19.25,28.89965426
2.85,19.5,28.89775855
2.855,19.75,28.895863
2.86,20,28.89396761
2.865,20.25,28.89207238
2.87,20.5,28.8901773
2.875,20.75,28.88828239
2.88,21,28.88638763
2.885,21.25,28.88449303
2.89,21.5,28.88259858
2.895,21.75,28.8807043
2.9,22,28.87881017
2.905,22.25,28.8769162
2.91,22.5,28.87502239
2.915,22.75,28.87312874
2.92,23,28.87123524
2.925,23.25,28.86934191
2.93,23.5,28.86744873
2.935,23.75,28.86555571
2.94,24,28.86366284
2.945,24.25,28.86177014
2.95,24.5,28.85987759
2.955,24.75,28.8579852
2.96,25,28.85609297
2.965,25.25,28.85420089
2.97,25.5,28.85230898
2.975,25.75,28.85041722
2.98,26,28.84852561
2.985,26.25,28.84663417
2.99,26.5,28.84474288
2.995,26.75,28.84285176
3,27,28.84096078
3.005,27.25,28.83906997
3.01,27.5,28.83717931
3.015,27.75,28.83528881
3.02,28,28.83339847
3.025,28.25,28.83150829
3.03,28.5,28.82961826
3.035,28.75,28.82772839
3.04,29,28.82583868
3.045,29.25,28.82394913
3.05,29.5,28.82205973
3.055,29.75,28.82017049
3.06,30,28.8182814
3.065,30.25,28.81639248
3.07,30.5,28.81450371
3.075,30.75,28.8126151
3.08,31,28.81072665
3.085,31.25,28.80883835
3.09,31.5,28.80695021
3.095,31.75,28.80506223
3.1,32,28.8031744
3.105,32.25,28.80128674
3.11,32.5,28.79939931
3.115,32.75,28.79751219
3.12,33,28.79562507
3.125,33.25,28.79373723
3.13,33.5,28.79184752
3.135,33.75,28.78995451
3.14,34,28.78805661
3.145,34.25,28.7861521
3.15,34.5,28.7842392
3.155,34.75,28.78231615
3.16,35,28.7803812
3.165,35.25,28.77843272
3.17,35.5,28.77646918
3.175,35.75,28.77448917
3.18,36,28.77249144
3.185,36.25,28.77047487
3.19,36.5,28.76843843
3.195,36.75,28.76638119
3.2,37,28.76430228
3.205,37.25,28.76220083
3.21,37.5,28.76007607
3.215,37.75,28.75792721
3.22,38,28.75575339
3.225,38.25,28.75355367
3.23,38.5,28.75132704
3.235,38.75,28.74907233
3.24,39,28.74678829
3.245,39.25,28.74447355
3.25,39.5,28.74212662
3.255,39.75,28.73974589
3.26,40,28.73732966
3.265,40.25,28.7348761
3.27,40.5,28.73238333
3.275,40.75,28.72984933
3.28,41,28.72727204
3.285,41.25,28.72464934
3.29,41.5,28.72197902
3.295,41.75,28.71925885
3.3,42,28.71648653
3.305,42.25,28.71365974
3.31,42.5,28.71077613
3.315,42.75,28.70783332
3.32,43,28.70482893
3.325,43.25,28.70176054
3.33,43.5,28.69862576
3.335,43.75,28.69542218
3.34,44,28.69214741
3.345,44.25,28.68879907
3.35,44.5,28.68537479
3.355,44.75,28.68187224
3.36,45,28.67828911
3.365,45,28.67462314
3.37,45,28.67087209
3.375,45,28.66703378
3.38,45,28.66310606
3.385,45,28.65908687
3.39,45,28.65497417
3.395,45,28.65076601
3.4,45,28.64646049
3.405,45,28.64205539
3.41,45,28.63754835
3.415,45,28.63294337
3.42,45,28.62824949
3.425,45,28.62347626
3.43,45,28.61863164
3.435,45,28.61372165
3.44,45,28.60875074
3.445,45,28.60372223
3.45,45,28.5986385
3.455,45,28.593501
3.46,45,28.58831028
3.465,45,28.58306611
3.47,45,28.57776766
3.475,45,28.57241376
3.48,45,28.56700313
3.485,45,28.56153458
3.49,45,28.55600709
3.495,45,28.55041899
3.5,45,28.54476816
3.505,45,28.53905386
3.51,45,28.53327602
3.515,45,28.52743067
3.52,45,28.52150651
3.525,45,28.51548405
3.53,45,28.50933702
3.535,45,28.50303499
3.54,45,28.49654549
3.545,45,28.48983516
3.55,45,28.48287019
3.555,45,28.4756166
3.56,45,28.46804113
3.565,45,28.46011179
3.57,45,28.45179791
3.575,45,28.44306985
3.58,45,28.43389914
3.585,45,28.42425902
3.59,45,28.41412501
3.595,45,28.40347562
3.6,45,28.39229286
3.605,45,28.38056128
3.61,45,28.3682658
3.615,45,28.35540211
3.62,45,28.34197779
3.625,45,28.32800541
3.63,45,28.31349804
3.635,45,28.29846831
3.64,45,28.28292903
3.645,45,28.26689406
3.65,45,28.25039274
3.655,45,28.23349342
3.66,45,28.21628442
3.665,45,28.1988651
3.67,45,28.18132469
3.675,45,28.1637349
3.68,45,28.14614412
3.685,45,28.12857858
3.69,45,28.11104989
3.695,45,28.0935713
3.7,45,28.0761701
3.705,45,28.05886899
3.71,45,28.04166149
3.715,45,28.02450612
3.72,45,28.00733427
3.725,45,27.99006728
3.73,45,27.97272193
3.735,45,27.95549075
3.74,45,27.93858083
3.745,45,27.9221847
3.75,45,27.90641374
3.755,45,27.89134651
3.76,45,27.87701465
3.765,45,27.86349106
3.77,45,27.85077739
3.775,45,27.83877504
3.78,45,27.82735605
3.785,45,27.81640774
3.79,45,27.80584334
3.795,45,27.79559546
3.8,45,27.78560825
3.805,45,27.77583367
3.81,45,27.76623119
3.815,45,27.75676534
3.82,45,27.74740287
3.825,45,27.73811432
3.83,45,27.72887241
3.835,45,27.71964918
3.84,45,27.71041618
3.845,45,27.70114551
3.85,45,27.69181113
3.855,45,27.68238921
3.86,45,27.67285904
3.865,45,27.66321048
3.87,45,27.65344383
3.875,45,27.64356461
3.88,45,27.63358211
3.885,45,27.62350409
3.89,45,27.61337032
3.895,45,27.60327308
3.9,45,27.59327854
3.905,45,27.58344562
3.91,45,27.57382343
3.915,45,27.56444241
3.92,45,27.55531048
3.925,45,27.54641281
3.93,45,27.53771324
3.935,45,27.52916779
3.94,45,27.52075132
3.945,45,27.51245777
3.95,45,27.50428598
3.955,45,27.49623205
3.96,45,27.48828597
3.965,45,27.48043023
3.97,45,27.47262606
3.975,45,27.46479046
3.98,45,27.45681726
3.985,45,27.44860303
3.99,45,27.44005627
3.995,45,27.43109649
4,45,27.42165154
4.005,45,27.41165644
4.01,45,27.40105373
4.015,45,27.38979746
4.02,45,27.3778592
4.025,45,27.36522997
4.03,45,27.35191806
4.035,45,27.33794258
4.04,45,27.32332751
4.045,45,27.3080988
4.05,45,27.29228072
4.055,45,27.27589092
4.06,45,27.25893785
4.065,45,27.24142245
4.07,45,27.22334232
4.075,45,27.20469526
4.08,45,27.18548224
4.085,45,27.16570837
4.09,45,27.14538014
4.095,45,27.12449918
4.1,45,27.10306241
4.105,45,27.0810653
4.11,45,27.05850258
4.115,45,27.03537249
4.12,45,27.01168321
4.125,45,26.98745274
4.13,45,26.96270151
4.135,45,26.93745331
4.14,45,26.91173612
4.145,45,26.88557976
4.15,45,26.85901258
4.155,45,26.8320594
4.16,45,26.80474127
4.165,45,26.777076
4.17,45,26.74909596
4.175,45,26.72088989
4.18,45,26.69260007
4.185,45,26.66438344
4.19,45,26.63636893
4.195,45,26.60863331
4.2,45,26.58119646
4.205,45,26.55403078
4.21,45,26.52707806
4.215,45,26.50026868
4.22,45,26.47353685
4.225,45,26.44682985
4.23,45,26.42011293
4.235,45,26.39337134
4.24,45,26.36661006
4.245,45,26.3398524
4.25,45,26.31314535
4.255,45,26.28655584
4.26,45,26.26011096
4.265,45,26.23376355
4.27,45,26.20743034
4.275,45,26.18105874
4.28,45,26.15465634
4.285,45,26.12824475
4.29,45,26.10181924
4.295,45,26.07535286
4.3,45,26.04880027
4.305,45,26.02211561
4.31,45,25.99527232
4.315,45,25.96828682
4.32,45,25.94127681
4.325,45,25.91459915
4.33,45,25.88899183
4.335,45,25.86532784
4.34,45,25.8442228
4.345,45,25.8259954
4.35,45,25.81073874
4.355,45,25.79834933
4.36,45,25.7885452
4.365,45,25.78090563
4.37,45,25.77494111
4.375,45,25.7701656
4.38,45,25.76615175
4.385,45,25.76256271
4.39,45,25.75916086
4.395,45,25.75579955
4.4,45,25.75240534
4.405,45,25.74895753
4.41,45,25.74546934
4.415,45,25.74197159
4.42,45,25.73850141
4.425,45,25.73509484
4.43,45,25.73178219
4.435,45,25.72858589
4.44,45,25.72552002
4.445,45,25.72259099
4.45,45,25.71979867
4.455,45,25.71713786
4.46,45,25.71459973
4.465,45,25.71217316
4.47,45,25.70984596
4.475,45,25.70760589
4.48,45,25.70544138
4.485,45,25.70334211
4.49,45,25.7012993
4.495,45,25.69930628
4.5,45,25.6973584
4.505,45,25.69545242
4.51,45,25.69358597
4.515,45,25.69175708
4.52,45,25.68996397
4.525,45,25.68820487
4.53,45,25.68647802
4.535,45,25.68478159
4.54,45,25.68311371
4.545,45,25.68147247
4.55,45,25.67985595
4.555,45,25.67826223
4.56,45,25.6766894
4.565,45,25.67513561
4.57,45,25.67359904
4.575,45,25.67207794
4.58,45,25.67057067
4.585,45,25.66907562
4.59,45,25.66759133
4.595,45,25.66611639
4.6,45,25.6646495
4.605,45,25.66318943
4.61,45,25.66173504
4.615,45,25.66028527
4.62,45,25.65883913
4.625,45,25.65739569
4.63,45,25.65595407
4.635,45,25.65451347
4.64,45,25.65307311
4.645,45,25.65163182
4.65,45,25.65018645
4.655,45,25.64873372
4.66,45,25.64727187
4.665,45,25.64580055
4.67,45,25.6443203
4.675,45,25.64283203
4.68,45,25.6413367
4.685,45,25.63983515
4.69,45,25.63832808
4.695,45,25.63681601
4.7,45,25.63529933
4.705,45,25.6337783
4.71,45,25.63225306
4.715,45,25.6307237
4.72,45,25.62919022
4.725,45,25.62765258
4.73,45,25.62611073
4.735,45,25.6245646
4.74,45,25.62301409
4.745,45,25.62145817
4.75,45,25.6198949
4.755,45,25.61832316
4.76,45,25.61674289
4.765,45,25.61515476
4.77,45,25.61355974
4.775,45,25.61195887
4.78,45,25.61035307
4.785,45,25.60874314
4.79,45,25.60712972
4.795,45,25.6055133
4.8,45,25.60389429
4.805,45,25.60227302
4.81,45,25.60065004
4.815,45,25.59902602
4.82,45,25.59740133
4.825,45,25.59577603
4.83,45,25.59415001
4.835,45,25.59252309
4.84,45,25.59089508
4.845,45,25.58926582
4.85,45,25.58763519
4.855,45,25.58600311
4.86,45,25.58436956
4.865,45,25.58273451
4.87,45,25.581098
4.875,45,25.57946006
4.88,45,25.57782075
4.885,45,25.57618013
4.89,45,25.57453828
4.895,45,25.57289527
4.9,45,25.57125117
4.905,45,25.56960607
4.91,45,25.56796002
4.915,45,25.56631309
4.92,45,25.56466535
4.925,45,25.56301685
4.93,45,25.56136765
4.935,45,25.5597178
4.94,45,25.55806746
4.945,45,25.55641702
4.95,45,25.55476679
4.955,45,25.55311695
4.96,45,25.5514675
4.965,45,25.54981841
4.97,45,25.54816959
4.975,45,25.54652095
4.98,45,25.54487241
4.985,45,25.5432239
4.99,45,25.54157537
